,Title,Date
0,"""green hydrogen"" - Google News","Wed, 21 Feb 2024 11:55:00 GMT"
1,"'Green hydrogen is too expensive to use in our EU steel mills, even though we've secured billions in subsidies' - Hydrogen Insight","Thu, 22 Feb 2024 14:15:00 GMT"
2,Government meets academia and industry to steer R&D projects under National Green Hydrogen Mission - PIB,"Sat, 24 Feb 2024 03:14:59 GMT"
3,Indian Government Announces Massive New Green Hydrogen Project - CarbonCredits.com,"Sat, 24 Feb 2024 00:00:00 GMT"
4,24x7 power with green H2 storage in works - The Economic Times,"Fri, 23 Feb 2024 02:41:40 GMT"
5,"India charts path for green hydrogen, focuses on enhancing electrolyzer efficiency - ETEnergyWorld","Wed, 21 Feb 2024 11:30:00 GMT"
6,Startup Electric Hydrogen Has Big Plans To Make Green Fuel For Cheap - Forbes,"Fri, 23 Feb 2024 09:15:01 GMT"
7,"Himachal CM seeks collaboration with UK on green hydrogen, e-vehicles - Zee Business","Wed, 21 Feb 2024 13:40:46 GMT"
8,NTPC to set up India's largest green hydrogen production facility in Andhra Pradesh - PSU Watch,"Thu, 22 Feb 2024 10:50:20 GMT"
9,Bluechip Powering India's Green Hydrogen Megatrend - Profit Hunter by Equitymaster - Equitymaster,"Mon, 19 Feb 2024 08:28:45 GMT"
10,BPCL Invites Bids for Green Hydrogen Refueling Station at Cochin Airport - Mercom India,"Sat, 24 Feb 2024 07:43:09 GMT"
11,Chief Minister Sukhu expresses keen interest in exploring collaboration with the UK in green hydrogen - ChiniMandi News,"Thu, 22 Feb 2024 16:10:44 GMT"
12,Green hydrogen is too expensive for ArcelorMittal Europe’s plants – CEO - GMK Center | English,"Sat, 24 Feb 2024 04:52:00 GMT"
13,Green Hydrogen's Carbon Footprint May Exceed Brown Hydrogen - Construction World,"Wed, 21 Feb 2024 12:42:38 GMT"
14,Can India drive on green hydrogen fuel in future? A govt pilot project aims to tell - India Today,"Wed, 21 Feb 2024 13:02:40 GMT"
15,NGEL inks land lease agreement with AP for green hydrogen hub - BusinessLine,"Fri, 23 Feb 2024 11:42:50 GMT"
16,"Indus Towers, IIT-Madras launch R&D laboratories, focus on Green Hydrogen, Battery Management System - Moneycontrol","Fri, 23 Feb 2024 11:19:16 GMT"
17,Energy Vault Starts Construction on Largest Green Hydrogen Storage in US - ChemAnalyst,"Mon, 19 Feb 2024 18:17:23 GMT"
18,"L&T ramps up green hydrogen play, plans launch of electrolysers in Sept - Business Standard","Thu, 22 Feb 2024 06:46:01 GMT"
19,Honeywell teams up with TGS for a green hydrogen facility in Vietnam - Construction Week Online India,"Thu, 22 Feb 2024 09:27:24 GMT"
20,India's Largest Green Hydrogen Plant to be Set In Andhra Pradesh - Geospatial World,"Fri, 23 Feb 2024 09:28:55 GMT"
21,Green Hydrogen will play a key role in India's energy transition: CSIR-NCL Director - ETEnergyWorld,"Sat, 24 Feb 2024 05:07:18 GMT"
22,NTPC's Renewable Arm Inks Green Hydrogen Hub Deal - Construction World,"Thu, 22 Feb 2024 09:10:59 GMT"
23,Honeywell and TGS Collaborate to Develop Green Hydrogen Plant in Vietnam - ChemAnalyst,"Wed, 21 Feb 2024 07:16:40 GMT"
24,"Honeywell, TGS ink MoU for Vietnam's first green hydrogen plant in Mekong Delta - ETEnergyWorld","Fri, 23 Feb 2024 10:02:00 GMT"
25,"Himachal CM seeks collaboration with UK on green hydrogen, e-vehicles - ETEnergyWorld","Sat, 24 Feb 2024 03:21:20 GMT"
26,NTPC set to start work on India’s largest green hydrogen hub in AP - Bizz Buzz,"Fri, 23 Feb 2024 09:31:00 GMT"
27,"Vietnam aims to produce 100,000-500,000 tons of hydrogen a year by 2030 - ETEnergyWorld","Sat, 24 Feb 2024 08:04:25 GMT"
28,Govt working on a draft scheme for firm and dispatchable round-the-clock renewable energy using green hydrogen as ... - ChiniMandi News,"Fri, 23 Feb 2024 05:48:08 GMT"
29,Hydrogen: A gamechanger for heavy industries and infrastructure - ETEnergyWorld,"Fri, 23 Feb 2024 01:49:00 GMT"
30,NGEL signs land lease agreement with APIIC for integrated green hydrogen hub - Power Line Magazine - Power Line Magazine,"Wed, 21 Feb 2024 11:22:10 GMT"
